term,r2,term_deletion_partial_r2,p_value,permutations,model_formula,sample_n,pseudo_f,df_term,df_residual,notes
study_label,0.0848515658057413,0.0802063518120445,0.001,999,retained_CLR ~ study_label + CRC_status + age_z + BMI_z + gender,1380,12.13415466229086,10.0,1365,Euclidean distance on retained CLR profiles; r2 is sequential in the displayed order; term_deletion_partial_r2 tests the term against a model containing the other listed terms.
CRC_status,0.0052608299906772,0.005109831075855,0.001,999,retained_CLR ~ study_label + CRC_status + age_z + BMI_z + gender,1380,7.730495050803938,1.0,1365,Euclidean distance on retained CLR profiles; r2 is sequential in the displayed order; term_deletion_partial_r2 tests the term against a model containing the other listed terms.
age,0.0037221556929923,0.0036855544679108,0.001,999,retained_CLR ~ study_label + CRC_status + age_z + BMI_z + gender,1380,5.575753904718961,1.0,1365,Euclidean distance on retained CLR profiles; r2 is sequential in the displayed order; term_deletion_partial_r2 tests the term against a model containing the other listed terms.
BMI,0.0017943045545341,0.0015101205983518,0.001,999,retained_CLR ~ study_label + CRC_status + age_z + BMI_z + gender,1380,2.284611690362476,1.0,1365,Euclidean distance on retained CLR profiles; r2 is sequential in the displayed order; term_deletion_partial_r2 tests the term against a model containing the other listed terms.
gender,0.0021107618325656,0.0021107618325656,0.001,999,retained_CLR ~ study_label + CRC_status + age_z + BMI_z + gender,1380,3.1933020207217453,1.0,1365,Euclidean distance on retained CLR profiles; r2 is sequential in the displayed order; term_deletion_partial_r2 tests the term against a model containing the other listed terms.
residual,0.9022603821234896,,,999,retained_CLR ~ study_label + CRC_status + age_z + BMI_z + gender,1380,,,1365,Residual fraction after the full complete-case model.
