prevalence_threshold,min_cohorts_present,pseudocount,retained_features,fdr_lt_0_10,fdr_lt_0_05,top100_overlap_with_baseline,common_features_with_baseline,direction_concordance_with_baseline,stable_candidates_fdr10_stability60
0.03,2,2.5e-05,359,145,125,84,301,0.9900332225913622,29
0.03,3,2.5e-05,359,145,125,84,301,0.9900332225913622,29
0.03,4,2.5e-05,359,145,125,84,301,0.9900332225913622,29
0.05,2,2.5e-05,301,124,107,100,301,1.0,29
0.05,3,2.5e-05,301,124,107,100,301,1.0,29
0.05,4,2.5e-05,301,124,107,100,301,1.0,29
0.1,2,2.5e-05,222,94,78,78,222,0.972972972972973,28
0.1,3,2.5e-05,222,94,78,78,222,0.972972972972973,28
0.1,4,2.5e-05,222,94,78,78,222,0.972972972972973,28
